Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002097,Male,No,1,Graduate,No,-0.2015508038159209,-0.02845002705624925,-0.4207897455600251,0.2772125909680383,1.0,Urban,Y
LP002318,Female,No,1,Not Graduate,Yes,-0.287623717003855,-0.4025981827884851,-1.0158833800874998,0.2772125909680383,1.0,Semiurban,N
LP002223,Male,Yes,0,Graduate,No,-0.21387071788924222,-0.4025981827884851,-0.28013125012625834,0.2772125909680383,,Semiurban,Y
LP002500,Male,Yes,3+,Not Graduate,No,-0.4407902162937957,-0.055368661796605316,-0.9293243059744125,-2.608772639394945,0.0,Urban,N
LP001273,Male,Yes,0,Graduate,No,0.0674894818933663,0.06691288826423696,1.1805531255320885,0.2772125909680383,,Semiurban,N
LP002562,Male,Yes,1,Not Graduate,No,-0.043556230091840724,-0.1665906177393168,0.3257822686653522,0.2772125909680383,,Urban,Y
LP001560,Male,Yes,0,Not Graduate,No,-0.6212603089354215,-0.1853710605814257,-0.6263675465786073,0.2772125909680383,1.0,Semiurban,Y
LP001356,Male,Yes,0,Graduate,No,-0.1569327366314599,0.3450721139145829,0.0,0.2772125909680383,1.0,Semiurban,Y
LP002874,Male,No,0,Graduate,No,-0.3938413545549226,0.16895329437302856,-0.4965289354089764,0.2772125909680383,1.0,Urban,Y
LP002004,Male,No,0,Not Graduate,No,-0.44411992280009877,0.09925698427009115,-0.4857090511448405,0.2772125909680383,1.0,Semiurban,Y
LP002689,Male,Yes,2,Not Graduate,No,-0.5664866369067362,-0.03909227800011095,-1.1998214125778102,0.2772125909680383,1.0,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,0.389305615727557,-0.4025981827884851,1.2887519681734476,0.2772125909680383,1.0,Urban,N
LP002536,Male,Yes,3+,Not Graduate,No,-0.41615038814715305,-0.4025981827884851,-0.46406928261656866,0.2772125909680383,1.0,Rural,Y
LP002933,,No,3+,Graduate,Yes,0.6263807189763348,-0.4025981827884851,1.472690000663758,0.2772125909680383,1.0,Semiurban,Y
LP002370,Male,No,0,Not Graduate,No,-0.4790818411162809,-0.4025981827884851,-1.0375231486157714,-2.608772639394945,1.0,Urban,Y
LP002140,Male,No,0,Graduate,No,0.525324126510037,0.46693632080115616,1.6458081488899323,0.2772125909680383,1.0,Rural,N
LP002459,Male,Yes,0,Graduate,No,-0.2153690858170786,-0.4025981827884851,-0.4099698612958892,0.2772125909680383,1.0,Urban,Y
LP001570,Male,Yes,2,Graduate,No,-0.23767811940930908,-0.10065039620480118,0.022825509269546938,0.2772125909680383,1.0,Rural,Y
LP002788,Male,Yes,0,Not Graduate,No,-0.5228674816741661,0.08423262999640403,0.2716828473446727,0.2772125909680383,0.0,Urban,N
LP001047,Male,Yes,0,Not Graduate,No,-0.4985606241781538,-0.0038267797743731617,-0.43160962982416096,0.2772125909680383,0.0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,-0.30710250006572787,-0.4025981827884851,-0.43160962982416096,0.2772125909680383,1.0,Semiurban,Y
LP001865,Male,Yes,1,Graduate,No,0.081307763894524,0.48425606253332326,1.8838456027009223,0.2772125909680383,,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,-0.4271384196179532,-0.4025981827884851,-0.6155476623144713,0.2772125909680383,1.0,Urban,Y
LP001633,Male,Yes,1,Graduate,No,0.1340836120194275,1.1102708239369525,0.2608629630805368,0.2772125909680383,0.0,Urban,N
LP002473,Male,Yes,0,Graduate,No,0.45606623117893336,-0.4025981827884851,0.044465277797818746,0.2772125909680383,1.0,Semiurban,N
LP001692,Female,No,0,Not Graduate,No,-0.1975551560083572,-0.4025981827884851,-0.3883300927676174,0.2772125909680383,1.0,Semiurban,Y
LP001448,,Yes,3+,Graduate,No,3.0314277284790347,-0.4025981827884851,2.316640973266358,0.2772125909680383,1.0,Rural,Y
LP002855,Male,Yes,2,Graduate,No,1.843221961704788,-0.4025981827884851,1.2887519681734476,0.2772125909680383,1.0,Urban,Y
LP002606,Female,No,0,Graduate,No,-0.4054953273269833,-0.4025981827884851,-0.6047277780503354,0.2772125909680383,1.0,Semiurban,Y
LP002113,Female,No,3+,Not Graduate,No,-0.6267543246708216,-0.4025981827884851,0.0,0.2772125909680383,0.0,Urban,N
LP002234,Male,No,0,Graduate,Yes,0.2617778565361498,-0.4025981827884851,-0.30177101865453015,0.2772125909680383,1.0,Urban,Y
LP002191,Male,Yes,0,Graduate,No,2.3533329984704165,0.696266395062019,4.480617826093539,0.2772125909680383,1.0,Rural,N
LP002941,Male,Yes,2,Not Graduate,Yes,0.1312533614890699,-0.19392659565394196,0.33660215292948814,0.2772125909680383,1.0,Rural,N
LP001116,Male,No,0,Not Graduate,No,-0.3074354707163582,-0.054533975448067144,-0.4965289354089764,0.2772125909680383,1.0,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,-0.5688174314611484,-0.4025981827884851,-0.9726038430309561,-0.6847824858196229,0.0,Rural,N
LP002943,Male,No,,Graduate,No,-0.4341308032811896,-0.4025981827884851,-0.7345663892199662,0.2772125909680383,0.0,Semiurban,N
LP002345,Male,Yes,0,Graduate,No,-0.7607750115495198,0.17604812833560302,-0.4748891668807046,0.2772125909680383,1.0,Rural,Y
LP001507,Male,Yes,0,Graduate,No,-0.4822450622972688,0.021839825443175642,-0.36669032423934556,0.2772125909680383,1.0,Semiurban,Y
LP002794,Female,No,0,Graduate,No,-0.48740610738203854,-0.0635068536948525,-0.7778459262765098,0.2772125909680383,,Urban,Y
LP001864,Male,Yes,3+,Not Graduate,No,-0.11048333086853222,-0.4025981827884851,-0.30177101865453015,0.2772125909680383,,Semiurban,N
LP002682,Male,Yes,,Not Graduate,No,-0.4196465799787713,-0.026989325946307447,-0.3558704399752097,0.2772125909680383,0.0,Semiurban,N
LP001565,Male,Yes,1,Graduate,No,-0.417149300099044,-0.13549855125626986,-0.37751020850348144,0.2772125909680383,0.0,Semiurban,N
LP002842,Male,Yes,1,Graduate,No,-0.3625421133956738,-0.037422905303034604,0.3257822686653522,0.2772125909680383,1.0,Urban,Y
LP002194,Female,No,0,Graduate,Yes,1.6922197716439442,-0.4025981827884851,-1.091622569936451,0.2772125909680383,1.0,Semiurban,Y
LP002893,Male,No,0,Graduate,No,-0.6257554127189306,6.658222311083051,-0.7129266206916944,0.2772125909680383,1.0,Urban,N
LP001405,Male,Yes,1,Graduate,No,-0.5628239597498028,-0.11087530397439378,-0.7670260420123739,0.2772125909680383,,Urban,Y
LP001213,Male,Yes,1,Graduate,No,-0.10815253631412007,-0.4025981827884851,0.0,0.2772125909680383,0.0,Rural,N
LP002113,Female,No,3+,Not Graduate,No,-0.6267543246708216,-0.4025981827884851,0.0,0.2772125909680383,0.0,Urban,N
LP002086,Female,Yes,0,Graduate,No,-0.2100415554069937,0.10885587727828012,-0.4965289354089764,0.2772125909680383,1.0,Urban,N
LP001250,Male,Yes,3+,Not Graduate,No,-0.13978474812399913,-0.4025981827884851,-0.658827199371015,0.0,0.0,Semiurban,N
LP001349,Male,No,0,Graduate,No,-0.12513403949626567,0.3916058778455861,-0.052913680579404376,0.2772125909680383,1.0,Semiurban,Y
LP001043,Male,Yes,0,Not Graduate,No,0.34385512191652023,-0.4025981827884851,-0.5614482409937918,0.2772125909680383,0.0,Urban,N
LP002493,Male,No,0,Graduate,No,-0.23784460473462424,-0.4025981827884851,-0.6263675465786073,0.2772125909680383,0.0,Semiurban,N
LP001682,Male,Yes,3+,Not Graduate,No,-0.26681305133946087,-0.4025981827884851,0.0,-2.608772639394945,1.0,Urban,N
LP002556,Male,No,0,Graduate,No,-0.5260307028551541,-0.4025981827884851,-0.8752248846537329,0.2772125909680383,1.0,Urban,N
LP001990,Male,No,0,Not Graduate,No,-0.5984518193672456,-0.4025981827884851,0.0,0.2772125909680383,1.0,Urban,N
LP002086,Female,Yes,0,Graduate,No,-0.2100415554069937,0.10885587727828012,-0.4965289354089764,0.2772125909680383,1.0,Urban,N
LP002489,Female,No,1,Not Graduate,,-0.06719714628659244,-0.4025981827884851,-0.2584914815979865,0.2772125909680383,1.0,Semiurban,Y
LP002755,Male,Yes,1,Not Graduate,No,-0.558661826616924,0.12408890313910177,-0.30177101865453015,0.2772125909680383,1.0,Urban,Y
LP002158,Male,Yes,0,Not Graduate,No,-0.4319664940520926,-0.05495131862233623,-0.6047277780503354,2.2012027445433606,0.0,Urban,N
LP001275,Male,Yes,1,Graduate,No,-0.26747899264072145,-0.4025981827884851,-1.1457219912571306,-1.646777562607284,1.0,Urban,Y
LP002648,Male,Yes,0,Graduate,No,-0.5768087270762757,0.9884066170503795,-0.9293243059744125,-2.608772639394945,1.0,Semiurban,N
LP001091,Male,Yes,1,Graduate,,-0.23784460473462424,0.3004163942677907,0.48808053262739076,0.2772125909680383,,Urban,N
LP002407,Female,Yes,0,Not Graduate,Yes,0.257615723403271,-0.4025981827884851,-0.19357217601317112,0.2772125909680383,1.0,Rural,Y
LP002219,Male,Yes,3+,Graduate,No,0.525324126510037,0.6399250665356925,-0.28013125012625834,0.2772125909680383,1.0,Rural,Y
LP002002,Female,No,0,Graduate,No,-0.4457847760532503,-0.4025981827884851,-0.7778459262765098,0.2772125909680383,1.0,Semiurban,Y
LP001532,Male,Yes,2,Not Graduate,No,-0.5516694429536876,-0.4025981827884851,-0.46406928261656866,0.2772125909680383,1.0,Rural,N
LP001157,Female,No,0,Graduate,No,-0.41764875607498947,-0.4025981827884851,-0.3883300927676174,0.2772125909680383,1.0,Semiurban,Y
LP001151,Female,No,0,Graduate,No,-0.2654811687369396,0.07212967794260054,-0.1286528704283557,0.2772125909680383,1.0,Semiurban,Y
LP002050,Male,Yes,1,Graduate,Yes,0.7334307831539782,-0.4025981827884851,-0.009634143522860768,0.2772125909680383,1.0,Rural,N
LP001990,Male,No,0,Not Graduate,No,-0.5984518193672456,-0.4025981827884851,0.0,0.2772125909680383,1.0,Urban,N
LP002624,Male,Yes,0,Graduate,No,2.5369663122930306,0.988615288637514,3.5068282423213075,0.2772125909680383,,Urban,Y
LP001228,Male,No,0,Not Graduate,No,-0.398669428989062,0.06774757461277513,-0.3234107871828019,-2.608772639394945,0.0,Urban,N
LP001519,Female,No,0,Graduate,No,0.7334307831539782,-0.05495131862233623,0.7477577549666524,0.2772125909680383,1.0,Rural,N
LP001370,Male,No,0,Not Graduate,,0.2894144205384652,-0.4025981827884851,-0.3883300927676174,0.2772125909680383,1.0,Rural,N
LP001698,Male,No,0,Not Graduate,No,-0.26964330186981844,0.12554960424904357,-1.091622569936451,0.2772125909680383,1.0,Rural,Y
LP001385,Male,No,0,Graduate,No,-0.04638648062219832,-0.4025981827884851,-0.2152119445414429,0.2772125909680383,1.0,Urban,Y
LP001404,Female,Yes,0,Graduate,No,-0.4041634447244621,0.07379905063967689,-0.020454027786996672,0.2772125909680383,1.0,Semiurban,Y
LP001213,Male,Yes,1,Graduate,No,-0.10815253631412007,-0.4025981827884851,0.0,0.2772125909680383,0.0,Rural,N
LP002288,Male,Yes,2,Not Graduate,No,-0.4504463651620746,-0.4025981827884851,-1.1998214125778102,-2.608772639394945,0.0,Urban,N
LP001213,Male,Yes,1,Graduate,No,-0.10815253631412007,-0.4025981827884851,0.0,0.2772125909680383,0.0,Rural,N
LP002652,Male,No,0,Graduate,No,0.03668969671006301,0.36239185564675,1.67826780168234,0.2772125909680383,1.0,Rural,N
LP001993,Female,No,0,Graduate,No,-0.30510467616194603,-0.05495131862233623,-0.22603182880557882,0.2772125909680383,1.0,Rural,Y
LP001751,Male,Yes,0,Graduate,No,-0.3903451627233044,-0.4025981827884851,0.15266412043917776,0.2772125909680383,1.0,Rural,N
LP001370,Male,No,0,Not Graduate,,0.2894144205384652,-0.4025981827884851,-0.3883300927676174,0.2772125909680383,1.0,Rural,N
LP001954,Female,Yes,1,Graduate,No,-0.15460194207704775,-0.4025981827884851,-0.22603182880557882,0.2772125909680383,1.0,Urban,Y
LP002205,Male,No,1,Graduate,No,-0.42164440388255314,0.012032260847852116,-0.4857090511448405,-2.608772639394945,0.0,Urban,N
LP002364,Male,Yes,0,Graduate,No,1.5458791706919248,-0.4025981827884851,-0.648007315106879,0.2772125909680383,1.0,Semiurban,Y
LP002537,Male,Yes,0,Graduate,No,-0.5846335373660879,0.25471731668532577,-0.30177101865453015,0.2772125909680383,1.0,Semiurban,Y
LP001819,Male,Yes,1,Not Graduate,No,0.1687125596849793,-0.4025981827884851,-0.20439206027730702,-2.608772639394945,1.0,Urban,Y
LP002288,Male,Yes,2,Not Graduate,No,-0.4504463651620746,-0.4025981827884851,-1.1998214125778102,-2.608772639394945,0.0,Urban,N
LP002527,Male,Yes,2,Graduate,Yes,1.8197475308353515,-0.19100519343405833,-0.06373356484354029,0.2772125909680383,1.0,Rural,Y
LP002272,Male,Yes,2,Graduate,No,-0.3860165442651104,-0.3016011346153662,-0.22603182880557882,0.2772125909680383,,Semiurban,Y
LP001577,Female,Yes,0,Graduate,No,-0.16842022407820545,-0.4025981827884851,-0.4748891668807046,0.2772125909680383,1.0,Rural,N
LP001914,Male,Yes,0,Graduate,No,-0.2776345974849458,-0.23566091308085058,-0.4748891668807046,0.2772125909680383,1.0,Semiurban,Y
LP001013,Male,Yes,0,Not Graduate,No,-0.5430122060372996,-0.0862520566925177,-0.658827199371015,0.2772125909680383,1.0,Urban,Y
LP001310,Male,Yes,0,Graduate,No,0.01671145767224465,0.46693632080115616,0.20676354175985728,0.2772125909680383,1.0,Semiurban,Y
LP001634,Male,No,0,Graduate,No,-0.6124365866937185,0.6539060628737068,-0.9617839587668202,0.2772125909680383,,Rural,N
LP001222,Female,No,0,Graduate,No,-0.23784460473462424,-0.4025981827884851,-0.43160962982416096,0.2772125909680383,0.0,Semiurban,N
LP002141,Male,Yes,3+,Graduate,No,-0.4875725927073537,0.03206473321276826,-0.658827199371015,0.2772125909680383,1.0,Rural,Y
LP002362,Male,Yes,1,Graduate,No,0.2755961385373075,-0.05474264703520169,-0.4965289354089764,0.0,0.0,Urban,N
LP002788,Male,Yes,0,Not Graduate,No,-0.5228674816741661,0.08423262999640403,0.2716828473446727,0.2772125909680383,0.0,Urban,N
LP001508,Male,Yes,2,Graduate,No,1.025945499732702,-0.4025981827884851,0.33660215292948814,-2.608772639394945,1.0,Urban,Y
LP001708,Female,No,0,Graduate,No,0.7334307831539782,-0.4025981827884851,0.6287390280611574,0.2772125909680383,1.0,Semiurban,N
LP001401,Male,Yes,1,Graduate,No,1.4964330290733243,-0.4025981827884851,0.3149623844012163,-2.608772639394945,1.0,Rural,Y
LP001263,Male,Yes,3+,Graduate,No,-0.4041634447244621,0.4320881657496875,0.2608629630805368,-0.6847824858196229,0.0,Semiurban,N
LP002328,Male,Yes,0,Not Graduate,No,0.083472073123621,-0.4025981827884851,0.6720185651177011,0.2772125909680383,0.0,Rural,N
LP001119,Male,No,0,Graduate,No,-0.3320752988630008,-0.4025981827884851,-0.8211254633330535,0.2772125909680383,1.0,Urban,N
LP002434,Male,Yes,2,Not Graduate,No,-0.1569327366314599,-0.4025981827884851,-0.4965289354089764,0.2772125909680383,1.0,Rural,Y
LP002161,Female,No,1,Graduate,No,-0.14511227853408404,-0.4025981827884851,-0.8103055790689175,0.2772125909680383,1.0,Semiurban,N
LP001100,Male,No,3+,Graduate,No,1.1496440964418606,0.2234165786151443,1.7756467600595631,0.2772125909680383,1.0,Rural,N
LP001047,Male,Yes,0,Not Graduate,No,-0.4985606241781538,-0.0038267797743731617,-0.43160962982416096,0.2772125909680383,0.0,Semiurban,N
LP001439,Male,Yes,0,Not Graduate,No,-0.21553557114239374,0.01766639370048478,0.4123413427784394,0.2772125909680383,1.0,Rural,Y
LP001030,Male,Yes,2,Graduate,No,-0.7151580324131678,-0.17598083916037124,-1.5027781719736153,-3.570767716182606,1.0,Urban,Y
LP002505,Male,Yes,0,Graduate,No,-0.2100415554069937,0.10885587727828012,-0.4965289354089764,0.2772125909680383,1.0,Urban,N
LP002175,Male,Yes,0,Graduate,No,-0.14061717475057492,0.08423262999640403,-0.28013125012625834,0.2772125909680383,1.0,Urban,Y
LP002517,Male,Yes,1,Not Graduate,No,-0.4897369019364507,-0.08959080208667039,-0.46406928261656866,-2.608772639394945,0.0,Rural,N
LP001606,Male,Yes,0,Graduate,No,-0.3492232873704616,0.0072328143437576245,-0.43160962982416096,0.2772125909680383,1.0,Rural,Y
LP002545,Male,No,2,Graduate,No,-0.34089902110470394,-0.4025981827884851,-0.8211254633330535,0.2772125909680383,0.0,Rural,N
LP002103,,Yes,1,Graduate,Yes,0.7056277338263477,-0.020103163570867527,0.2825027316088086,-2.608772639394945,1.0,Urban,Y
LP001138,Male,Yes,1,Graduate,No,0.009053132707747616,-0.4025981827884851,-1.210641296841946,0.2772125909680383,1.0,Urban,Y
LP001370,Male,No,0,Not Graduate,,0.2894144205384652,-0.4025981827884851,-0.3883300927676174,0.2772125909680383,1.0,Rural,N
LP002705,Male,Yes,0,Graduate,No,-0.30294036693284904,-0.4025981827884851,-0.4965289354089764,0.2772125909680383,1.0,Semiurban,Y
LP001532,Male,Yes,2,Not Graduate,No,-0.5516694429536876,-0.4025981827884851,-0.46406928261656866,0.2772125909680383,1.0,Rural,N
LP002443,Male,Yes,2,Graduate,No,-0.3753614834449406,-0.04576976878841633,-0.06373356484354029,0.2772125909680383,0.0,Rural,N
LP001430,Female,No,0,Graduate,No,-0.23784460473462424,-0.4025981827884851,-1.210641296841946,0.2772125909680383,1.0,Semiurban,Y
LP002931,Male,Yes,2,Graduate,Yes,0.0674894818933663,-0.4025981827884851,0.5313600696839343,-1.646777562607284,1.0,Semiurban,N
LP002515,Male,Yes,1,Graduate,Yes,-0.3570480976602738,0.031230046864230084,0.06610504632609054,0.2772125909680383,1.0,Semiurban,Y
LP001836,Female,No,2,Graduate,No,-0.3608772601425223,-0.4025981827884851,-0.19357217601317112,0.2772125909680383,1.0,Urban,N
LP001241,Female,No,0,Graduate,No,-0.21553557114239374,-0.4025981827884851,-0.2152119445414429,0.2772125909680383,0.0,Semiurban,N
LP002953,Male,Yes,3+,Graduate,No,0.018043340274765875,-0.4025981827884851,-0.30177101865453015,0.2772125909680383,1.0,Urban,Y
LP001945,Female,No,,Graduate,No,-0.029571462765367873,-0.4025981827884851,-0.1394727546924916,2.2012027445433606,0.0,Urban,N
LP001213,Male,Yes,1,Graduate,No,-0.10815253631412007,-0.4025981827884851,0.0,0.2772125909680383,0.0,Rural,N
LP001391,Male,Yes,0,Not Graduate,No,-0.3367368879718251,0.45587672668302537,-0.042093796315268474,0.0,0.0,Rural,N
LP001565,Male,Yes,1,Graduate,No,-0.417149300099044,-0.13549855125626986,-0.37751020850348144,0.2772125909680383,0.0,Semiurban,N
LP001637,Male,Yes,1,Graduate,No,4.703439850619116,-0.4025981827884851,1.1264537042114091,0.2772125909680383,1.0,Semiurban,N
LP002006,Female,No,0,Graduate,No,-0.514043759432463,-0.4025981827884851,-1.0808026856723152,0.2772125909680383,1.0,Rural,Y
LP001926,Male,Yes,0,Graduate,No,-0.3147608250302249,0.014744991480601178,-0.3883300927676174,0.2772125909680383,1.0,Rural,Y
LP002129,Male,Yes,0,Graduate,No,-0.5153756420349842,0.11031657838822193,0.044465277797818746,0.2772125909680383,1.0,Semiurban,Y
LP001024,Male,Yes,2,Graduate,No,-0.398669428989062,-0.25652807179430487,-0.9293243059744125,0.2772125909680383,1.0,Urban,Y
LP001379,Male,Yes,2,Graduate,No,-0.2987782337999702,0.34861953089587017,0.6503787965894293,0.2772125909680383,0.0,Urban,N
LP001768,Male,Yes,0,Graduate,,-0.31276300112644306,-0.4025981827884851,-1.2322810653702179,-2.608772639394945,1.0,Rural,Y
LP002524,Male,No,2,Graduate,No,-0.010425650354125283,0.5673073542128714,0.06610504632609054,0.2772125909680383,1.0,Rural,Y
LP001520,Male,Yes,0,Graduate,No,-0.12230378896590807,-0.2294007654668143,-0.33423067144693785,0.2772125909680383,1.0,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,-0.3903451627233044,-0.4025981827884851,0.15266412043917776,0.2772125909680383,1.0,Rural,N
LP002941,Male,Yes,2,Not Graduate,Yes,0.1312533614890699,-0.19392659565394196,0.33660215292948814,0.2772125909680383,1.0,Rural,N
LP002529,Male,Yes,2,Graduate,No,0.1840292096139734,-0.037422905303034604,0.8018571762873319,-0.6847824858196229,1.0,Semiurban,Y
LP001532,Male,Yes,2,Not Graduate,No,-0.5516694429536876,-0.4025981827884851,-0.46406928261656866,0.2772125909680383,1.0,Rural,N
LP001006,Male,Yes,0,Not Graduate,No,-0.5013908747085114,0.08944941967476762,-0.3883300927676174,0.2772125909680383,1.0,Urban,Y
LP002626,Male,Yes,0,Graduate,Yes,-0.5187053485412874,0.22612930924789337,0.347422037193624,0.2772125909680383,1.0,Urban,Y
LP002335,Female,Yes,0,Not Graduate,No,-0.5736455058952877,0.27287174476603104,0.23922319455226498,0.2772125909680383,0.0,Semiurban,N
LP002142,Female,Yes,0,Graduate,Yes,-0.015753180764210176,-0.4025981827884851,-0.5506283567296559,0.2772125909680383,0.0,Rural,N
LP001935,Male,No,0,Graduate,No,0.6515200030989229,-0.4025981827884851,0.33660215292948814,0.2772125909680383,1.0,Rural,Y
LP001945,Female,No,,Graduate,No,-0.029571462765367873,-0.4025981827884851,-0.1394727546924916,2.2012027445433606,0.0,Urban,N
LP002367,Female,No,1,Not Graduate,No,-0.16459106159595693,-0.4025981827884851,-0.8103055790689175,0.2772125909680383,1.0,Rural,N
LP002960,Male,Yes,0,Not Graduate,No,-0.5318576892411844,0.3903538483227788,0.0,-2.608772639394945,1.0,Urban,N
LP001451,Male,Yes,1,Graduate,Yes,0.8188377550406517,0.400787427679506,0.044465277797818746,-2.608772639394945,0.0,Urban,N
LP002237,Male,No,1,Graduate,,-0.32092078206688557,-0.4025981827884851,-0.46406928261656866,-2.608772639394945,1.0,Urban,Y
LP002634,Female,No,1,Graduate,No,1.2765059143320072,-0.4025981827884851,-1.2539208338984895,0.2772125909680383,1.0,Urban,Y
LP002317,Male,Yes,3+,Graduate,No,12.553888880529838,-0.4025981827884851,2.208442130624999,0.2772125909680383,0.0,Rural,N
LP001963,Male,Yes,1,Graduate,No,-0.5961210248128335,0.20776620958005357,-0.46406928261656866,0.2772125909680383,1.0,Urban,N
LP001326,Male,No,0,Graduate,,0.19768100628981594,-0.4025981827884851,0.0,0.2772125909680383,,Urban,N
LP001844,Male,No,0,Graduate,Yes,1.7739640663736844,-0.4025981827884851,0.3907015742501676,0.2772125909680383,0.0,Urban,N
LP001422,Female,No,0,Graduate,No,0.8013567958825606,-0.4025981827884851,1.115633819947273,0.2772125909680383,1.0,Urban,Y
LP001744,Male,No,0,Graduate,No,-0.43679456848623205,0.1798042169040248,-0.1286528704283557,0.2772125909680383,1.0,Semiurban,Y
LP001020,Male,Yes,1,Graduate,No,1.2064155923743278,1.8861117849031839,2.0894234037195045,0.2772125909680383,1.0,Semiurban,N
LP001870,Female,No,1,Graduate,No,-0.351887052575504,-0.4025981827884851,-0.009634143522860768,-4.917560823685332,1.0,Semiurban,N
LP002784,Male,Yes,1,Not Graduate,No,-0.5165410393121903,0.09299683665605485,0.0,0.2772125909680383,1.0,Rural,Y
LP002600,Male,Yes,1,Graduate,Yes,-0.44944745321018365,-0.4025981827884851,-0.658827199371015,0.2772125909680383,1.0,Semiurban,Y
LP001978,Male,No,0,Graduate,No,-0.2654811687369396,0.11908078504787274,-0.1719324074848993,0.2772125909680383,1.0,Rural,Y
LP001562,Male,Yes,0,Graduate,No,0.389305615727557,-0.4025981827884851,1.2887519681734476,0.2772125909680383,1.0,Urban,N
LP002315,Male,Yes,1,Graduate,No,0.45040573011821816,-0.4025981827884851,-0.042093796315268474,-0.6847824858196229,0.0,Semiurban,N
LP001674,Male,Yes,1,Not Graduate,No,-0.4985606241781538,0.11908078504787274,-0.7129266206916944,0.2772125909680383,1.0,Semiurban,Y
LP002950,Male,Yes,0,Not Graduate,,-0.4496139385354988,0.18001288849115935,-0.009634143522860768,0.2772125909680383,1.0,Rural,Y
LP001095,Male,No,0,Graduate,No,-0.4041634447244621,-0.4025981827884851,-0.8860447689178689,0.2772125909680383,1.0,Urban,N
LP001641,Male,Yes,1,Graduate,Yes,-0.5688174314611484,-0.4025981827884851,-0.9726038430309561,-0.6847824858196229,0.0,Rural,N
LP001316,Male,Yes,0,Graduate,No,-0.43895887771532904,0.20254941990168998,-0.26931136586212245,0.2772125909680383,1.0,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,-0.09899584342178666,-0.4025981827884851,-0.9076845374461406,0.2772125909680383,0.0,Semiurban,N
LP002335,Female,Yes,0,Not Graduate,No,-0.5736455058952877,0.27287174476603104,0.23922319455226498,0.2772125909680383,0.0,Semiurban,N
LP002625,,No,0,Graduate,No,-0.3349055493933584,-0.4025981827884851,-0.648007315106879,0.2772125909680383,1.0,Urban,N
LP002393,Female,,,Graduate,No,0.7412555934437904,-0.4025981827884851,0.0,-1.646777562607284,1.0,Semiurban,Y
LP002789,Male,Yes,0,Graduate,No,-0.3332406961402069,0.48759480792747595,-0.2584914815979865,-2.608772639394945,0.0,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,-0.11048333086853222,-0.4025981827884851,-0.30177101865453015,0.2772125909680383,,Semiurban,N
LP002493,Male,No,0,Graduate,No,-0.23784460473462424,-0.4025981827884851,-0.6263675465786073,0.2772125909680383,0.0,Semiurban,N
